,spread,theta,mu,sigma,signal,a,b
2010-05-03,0.13436362906751498,0.0769158855591668,-0.15004310935918624,0.14706035376099608,,0.5998555581256777,-0.8999417768440501
2010-05-04,0.30903454916454365,0.057709388124467756,-0.04965825223256886,0.1483698611742867,,0.8237905494576429,-0.9231070539227805
2010-05-05,0.3835734980342451,0.04649864411602837,0.04138720458990741,0.14819345895568953,,1.0132923652582155,-0.9305179560784006
2010-05-06,0.12904055738052023,0.07508229814307237,-0.15061344578583943,0.15277803141743385,,0.6378964153073308,-0.9391233068790097
2010-05-07,0.20295910611321943,0.06852358307103293,-0.10841323638325483,0.1512395759754784,,0.7086589308313317,-0.9254854035978414
2010-05-10,-0.013956175377650482,0.08366335989865537,-0.2155758883449338,0.1577181592621683,,0.5555566818116857,-0.9867084585015533
2010-05-11,0.16310370156689658,0.07528699133250134,-0.13985351318529662,0.15991890893801886,,0.6843886848579669,-0.9640957112285601
2010-05-12,0.09786027471101022,0.07861606491196567,-0.169025677968787,0.1601884360769022,,0.6389355273418754,-0.9769868832794494
2010-05-13,0.09526810138157771,0.07761983204740536,-0.16259767435579947,0.1582638832097227,,0.6407628102190084,-0.9659581589306074
2010-05-14,-0.06265433890000338,0.08473942984015886,-0.20549941772536323,0.15842839462796654,,0.5641718076896098,-0.9751706431403364
2010-05-17,-0.07354398998923273,0.08261066941108636,-0.15166206147626207,0.1599103225938874,,0.635154380192734,-0.938478503145258
2010-05-18,0.11386218972904771,0.08143966355766194,-0.02386598609982243,0.15822239015843723,,0.7602222773841156,-0.8079542495837604
2010-05-19,-0.2481923265261372,0.10662627808214845,-0.11158167266271969,0.16795958482461049,,0.6158423937202013,-0.8390057390456407
2010-05-20,0.02247397505261972,0.10868795339323943,-0.05713297464179467,0.17107092580485217,,0.6767055342328351,-0.7909714835164244
2010-05-21,0.24188526864412552,0.10079749063739303,0.006139040256989239,0.17218694793066808,,0.7731302129868991,-0.7608521324729207
2010-05-24,0.3494065886078488,0.1260961097817241,0.07440284520781135,0.17297350005794102,,0.7632830843707618,-0.614477393955139
2010-05-25,0.6189676174935883,0.0826293605155948,0.2255143301479589,0.17416892986248736,,1.082391329403028,-0.6313626691071101
2010-05-26,0.2574530096104013,0.12703957227490606,0.06021599405297248,0.1848780939271382,,0.7937680545938995,-0.6733360664879545
2010-05-27,0.07637083466173067,0.13616738754569968,0.023466430615133153,0.18519212881765088,,0.7332091875728846,-0.6862763263426181
2010-05-28,-0.06879027104027102,0.13981731172057607,-0.002113882169259413,0.18470501504463044,,0.6964613944814141,-0.700689158819933
2010-05-31,-0.36714718947420266,0.1784778158645202,0.0031807069891897216,0.19249479823242438,,0.6475604430860034,-0.6411990291076239
2010-06-01,-0.056330845710625965,0.2234871896502191,0.04413645950938287,0.19710325521919206,,0.6337704042213901,-0.5454974852026244
2010-06-02,-0.1908799509736312,0.2323284660485843,0.031443495311261234,0.19946507775405561,,0.6166789867963139,-0.5537919961737915
2010-06-03,-0.16291324461715817,0.23135491012816015,0.029221147888228764,0.1970835977272828,,0.6086846928022788,-0.5502423970258213
2010-06-04,-0.20061578987104411,0.22860857828472372,0.021491288685962704,0.19506098976013989,,0.5984425936400366,-0.5554600162681111
2010-06-07,-0.22763415367952433,0.2901544570288885,0.03842230905477802,0.19685644557603688,,0.5552550452004127,-0.4784104270908566
2010-06-08,-0.3596697089652139,0.3335896893765221,0.03972448949399019,0.19789682220063862,,0.5242844316109766,-0.44483545262299623
2010-06-09,-0.18630928681132275,0.3885560755770489,0.05006238418502856,0.19982840204395683,,0.5034246407255883,-0.4032998723555312
2010-06-10,-0.2636613297911765,0.3750952352908634,0.04072292346497133,0.1986349437307575,,0.49939243806313194,-0.4179465911331892
2010-06-11,-0.2923471748287412,0.36023138042522684,0.03291167481634559,0.1966779131960326,,0.49633705867021427,-0.43051370903752306
2010-06-14,-0.15996559195276916,0.3070147976458407,0.029656262604414528,0.1752006190888411,,0.4768245332913984,-0.4175120080825694
2010-06-15,-0.26008661729438387,0.28860112291209056,0.013544647972894543,0.17571733164631195,,0.47611797758216773,-0.4490286816363786
2010-06-17,-0.32500958150225756,0.2643419978244588,-0.01419487242503105,0.17338047041286322,,0.4627103637517418,-0.49110010860180386
2010-06-18,-0.31344898907521923,0.25263018785707914,-0.022273758982586406,0.17087249075848351,,0.4585041733650844,-0.5030516913302572
2010-06-21,-0.1831414561517377,0.256649045040864,-0.01646760652689153,0.1744004041720131,,0.470379573280775,-0.5033147863345581
2010-06-22,-0.3201081800587744,0.24489871146235448,-0.04702396396189487,0.1748244521194688,,0.4525777546626444,-0.5466256825864342
2010-06-23,-0.6483625900744059,0.20046438627473998,-0.11836764903134556,0.18185065086009647,,0.4560281345236704,-0.6927634325863615
2010-06-24,-0.5405002826387459,0.20084392612457336,-0.11799845897440929,0.17975506749932893,,0.4492414636335902,-0.6852383815824088
2010-06-25,-0.44537858084696325,0.20260976027025193,-0.11612275655064087,0.17785447456341796,,0.4426685132732685,-0.6749140263745502
2010-06-28,-0.41571490752954077,0.19451881026938758,-0.11745808619144661,0.18028235625017042,,0.4606212174636284,-0.6955373898465216
2010-06-29,-0.1851259227284956,0.21840168060350448,-0.11061343274703289,0.1826626498592284,,0.4421467649178083,-0.663373630411874
2010-06-30,-0.48365026078734275,0.2112421954601184,-0.15369481155683712,0.18938109242651843,,0.4290270063654052,-0.7364166294790795
2010-07-01,-0.15694813776641325,0.24339500824006893,-0.12039012948127234,0.19464552095026835,,0.4375705298110786,-0.6783507887736233
