datetime,stock_id,side,reason,price,shares,fee,tax,cash_after,pnl,return_pct
2023-01-17 12:00:00,1473,sell,stop,20.9,161,1.3425951,10.0947,189964.47850548982,-53.04594995000025,-0.01557194046005911
2023-01-17 13:00:00,1108,buy,pullback_contract,10.95,4566,19.949082300000004,0.0,139946.82942318983,,
2023-01-17 13:00:00,1220,buy,pullback_contract,15.7,3184,19.9455312,0.0,89938.08389198984,,
2023-01-17 13:00:00,1308,buy,pullback_contract,28.95,1727,19.948663350000004,0.0,39921.48522863984,,
2023-01-17 13:00:00,1409,buy,pullback_contract,17.7,2254,15.9184242,0.0,9.766804439845146,,
2023-01-17 13:00:00,2897,buy,pullback_contract,9.09,1,0.00362691,0.0,0.6731775298451463,,
2023-01-30 09:00:00,8342,sell,stop,55.3,1,0.022064700000000003,0.1659,55.78521282984514,-0.21002940000000336,-0.0037964852024043017
2023-01-30 10:00:00,1203,buy,confirm_breakout,36.35,1,0.014503650000000003,0.0,19.42070917984514,,
2023-01-30 12:00:00,2897,buy,confirm_breakout,9.26,2,0.007389480000000001,0.0,0.89331969984514,,
2023-01-31 10:00:00,1468,sell,stop,14.6,7434,43.3060236,325.6092,108168.37809609983,8141.690402299995,0.08139590845787024
2023-02-01 09:00:00,1220,sell,stop,15.55,3184,19.754968800000007,148.5336,157511.2895272998,-665.8340999999928,-0.013314353178177306
2023-02-01 10:00:00,1409,buy,confirm_breakout,18.1,2762,19.946887800000006,0.0,107499.14263949981,,
2023-02-01 12:00:00,1108,buy,confirm_breakout,11.35,4405,19.94870325,0.0,57482.443936249816,,
2023-02-03 10:00:00,1102,sell,stop,42.25,2386,40.22259150000001,302.4255,157948.2958447498,453.76300069999706,0.004537081523397796
2023-02-03 11:00:00,1308,sell,stop,29.1,1727,20.052024300000003,150.76710000000003,208033.17672044982,68.2822123500082,0.0013651910400705126
2023-02-03 12:00:00,1102,buy,pullback_contract,42.4,1179,19.9458504,0.0,158023.63087004982,,
2023-02-03 12:00:00,1104,buy,pullback_contract,23.75,2105,19.947506250000004,0.0,108009.93336379982,,
2023-02-03 12:00:00,1217,buy,pullback_contract,10.85,4608,19.948723200000003,0.0,57993.18464059982,,
2023-02-03 12:00:00,1308,buy,pullback_contract,29.2,1712,19.946169600000005,0.0,7982.838470999821,,
2023-02-03 12:00:00,1468,buy,pullback_contract,15.35,519,3.1786933500000005,0.0,13.009777649821444,,
2023-02-03 12:00:00,2845,buy,pullback_contract,11.85,1,0.00472815,0.0,1.1550494998214447,,
2023-02-03 13:00:00,1102,sell,stop,42.3,1179,19.898808300000002,149.61509999999998,49703.34114119982,-307.359758700004,-0.006146021793908085
2023-02-03 13:00:00,1308,sell,stop,29.1,1712,19.877860800000004,149.4576,99353.20568039981,-360.4816303999978,-0.007208141074998703
2023-02-06 09:00:00,1225,buy,pullback_contract,58.1,860,19.936434000000002,0.0,49367.26924639981,,
2023-02-06 10:00:00,1468,sell,stop,15.0,519,3.1062150000000006,23.355,57125.80803139981,-211.28990834999877,-0.026511223324824838
2023-02-06 11:00:00,1904,sell,stop,28.45,3523,39.99151065,300.68805,157014.4784707498,-115.665376200006,-0.001156603613800721
2023-02-07 10:00:00,1104,buy,confirm_breakout,24.1,2074,19.943376600000004,0.0,107011.1350941498,,
2023-02-08 11:00:00,1225,sell,stop,57.1,860,19.593294000000004,147.318,155950.2238001498,-1046.8477280000006,-0.020942845181708827
2023-02-09 12:00:00,2008,sell,stop,18.4,5650,41.480039999999995,311.87999999999994,259556.8637601498,3590.549456199995,0.03589971811649223
2023-02-10 09:00:00,1203,sell,stop,36.5,1409,20.5199715,154.2855,310810.55828864983,1213.386408850005,0.02424818020601932
2023-02-10 09:00:00,2845,sell,stop,11.7,1,0.0046683,0.0351,310822.2185203498,-0.19449645000000082,-0.0164066562757916
2023-02-10 10:00:00,1423,buy,pullback_contract,20.45,2444,19.9419402,0.0,260822.47658014984,,
2023-02-10 10:00:00,1595,buy,pullback_contract,38.4,1302,19.948723200000003,0.0,210805.72785694984,,
2023-02-10 10:00:00,1713,buy,pullback_contract,25.3,1976,19.947127200000004,0.0,160792.98072974983,,
2023-02-10 10:00:00,2070,buy,pullback_contract,38.0,1315,19.93803,0.0,110803.04269974984,,
2023-02-10 10:00:00,2397,buy,pullback_contract,61.5,813,19.949800500000006,0.0,60783.592899249845,,
2023-02-10 10:00:00,2433,buy,pullback_contract,49.6,1008,19.948723200000003,0.0,10766.844176049839,,
2023-02-10 10:00:00,2832,sell,stop,20.7,1,0.0082593,0.0621,10787.47381674984,0.021421299999996535,0.0010394541898169297
