,Profit,Profitfee,cumReturn,Drawdown
2022-08-25 22:00:00+08:00,488.15369740095616,488.15369740095616,528234.8568905222,0.00192290077210226
2022-08-25 23:00:00+08:00,-144.31800553380404,-144.31800553380404,528090.5388849884,0.0021955834518811073
2022-08-26 00:00:00+08:00,-112.37054773491866,-112.37054773491866,527978.1683372535,0.0024079027807911695
2022-08-26 01:00:00+08:00,-348.7209177028605,-348.7209177028605,527629.4474195506,0.00306679599361283
2022-08-26 02:00:00+08:00,402.8357651904594,402.8357651904594,528032.283184741,0.002305655098153454
2022-08-26 03:00:00+08:00,193.9881311271331,193.9881311271331,528226.2713158681,0.0019391228470640647
2022-08-26 04:00:00+08:00,35.31870153289232,35.31870153289232,528261.590017401,0.0018723896757963444
2022-08-26 05:00:00+08:00,190.0110981072035,190.0110981072035,528451.6011155082,0.001513371857971322
2022-08-26 06:00:00+08:00,-134.34143191180215,-134.34143191180215,528317.2596835964,0.0017672042299165197
2022-08-26 07:00:00+08:00,-76.70902031735031,-76.70902031735031,528240.5506632791,0.0019121426327579883
2022-08-26 08:00:00+08:00,-157.68623447610804,-157.68623447610804,528082.864428803,0.002210084007586183
2022-08-26 09:00:00+08:00,57.86948692631609,57.86948692631609,528140.7339157293,0.0021007420948141622
2022-08-26 10:00:00+08:00,209.4840449707082,209.4840449707082,528350.2179607,0.0017049309793386327
2022-08-26 11:00:00+08:00,153.1844303731967,153.1844303731967,528503.4023910733,0.0014154955702219288
2022-08-26 12:00:00+08:00,-482.7025296051197,-482.7025296051197,528020.6998614682,0.002327541290518089
2022-08-26 13:00:00+08:00,406.28389817909726,406.28389817909726,528426.9837596472,0.0015598852957119564
2022-08-26 14:00:00+08:00,-490.15582955579254,-490.15582955579254,527936.8279300914,0.002486013706495927
2022-08-26 15:00:00+08:00,-292.215336803393,-292.215336803393,527644.6125932881,0.0030381420484675613
2022-08-26 16:00:00+08:00,-187.28969404517005,-187.28969404517005,527457.3228992429,0.0033920178900738638
2022-08-26 17:00:00+08:00,-76.63146570010831,-76.63146570010831,527380.6914335428,0.0035368097567934718
2022-08-26 18:00:00+08:00,285.23228524038177,285.23228524038177,527665.9237187832,0.0029978755911560153
2022-08-26 19:00:00+08:00,43.401265512010255,43.401265512010255,527709.3249842952,0.0029158707620161573
