,TodayBalance,YesBalance,buy,date,name,Return,sell
306,117747826000,117848845000,7432420000,2020-06-09,MarginPurchaseMoney,111768000,7421671000
307,866373,866257,25015,2020-06-09,ShortSale,1576,26707
308,6231860,6260799,275676,2020-06-09,MarginPurchase,6397,298218
309,879535,866373,26610,2020-06-10,ShortSale,2966,42738
310,6240572,6231860,333110,2020-06-10,MarginPurchase,3994,320404
311,118253277000,117747826000,8528657000,2020-06-10,MarginPurchaseMoney,71736000,7951470000
312,6237141,6240572,436882,2020-06-11,MarginPurchase,7986,432327
313,878767,879535,43676,2020-06-11,ShortSale,2210,45118
314,116516653000,118253277000,9599513000,2020-06-11,MarginPurchaseMoney,160502000,11175635000
315,6136351,6237142,322692,2020-06-12,MarginPurchase,6056,417427
316,869222,878767,62467,2020-06-12,ShortSale,2990,55912
317,116855485000,116516671000,7374138000,2020-06-12,MarginPurchaseMoney,103388000,6931936000
318,6134820,6136350,323151,2020-06-15,MarginPurchase,12321,312360
319,117603294000,116855485000,7298628000,2020-06-15,MarginPurchaseMoney,140523000,6410296000
320,854180,869222,41616,2020-06-15,ShortSale,14536,41110
321,824763,854180,56122,2020-06-16,ShortSale,8573,35278
322,6178050,6134820,354713,2020-06-16,MarginPurchase,5648,305835
323,118148449000,117603294000,8516648000,2020-06-16,MarginPurchaseMoney,83395000,7888098000
324,119555907000,118148449000,8528739000,2020-06-17,MarginPurchaseMoney,53456000,7067825000
325,6236133,6178050,341918,2020-06-17,MarginPurchase,2562,281273
326,833907,824763,22820,2020-06-17,ShortSale,3573,35537
327,6276781,6236133,350644,2020-06-18,MarginPurchase,3637,306359
328,846703,833907,23878,2020-06-18,ShortSale,1950,38624
329,120739638000,119555907000,8767332000,2020-06-18,MarginPurchaseMoney,81541000,7502060000
330,122117711000,120911220000,10265910000,2020-06-19,MarginPurchaseMoney,123506000,8935913000
331,826817,846703,39131,2020-06-19,ShortSale,9996,29241
332,6323315,6278965,383623,2020-06-19,MarginPurchase,3149,336124
