買進,日期,種類,賣出
306350,2020-03-23,Foreign_Dealer_Self,180210
3883008610,2020-03-23,Dealer_Hedging,9176215398
51652069767,2020-03-23,total,72634623214
2099805880,2020-03-23,Investment_Trust,2201926714
1193623340,2020-03-23,Dealer_self,939046169
58651613849,2020-03-24,total,55504051849
1546699760,2020-03-24,Investment_Trust,1517668512
918502410,2020-03-24,Dealer_self,1921952230
49653426499,2020-03-24,Foreign_Investor,44395285121
525890,2020-03-24,Foreign_Dealer_Self,706420
6532985180,2020-03-24,Dealer_Hedging,7669145986
2412612070,2020-03-25,Investment_Trust,1074835090
759654580,2020-03-25,Dealer_self,2470437837
7048660595,2020-03-25,Dealer_Hedging,7478180543
50198590409,2020-03-25,Foreign_Investor,52511853689
60419517654,2020-03-25,total,63535307159
698720,2020-03-25,Foreign_Dealer_Self,196650
5587222674,2020-03-26,Dealer_Hedging,6604004025
913564310,2020-03-26,Dealer_self,1211626900
49347093959,2020-03-26,Foreign_Investor,40745690716
387980,2020-03-26,Foreign_Dealer_Self,144750
1874537771,2020-03-26,Investment_Trust,1367169310
57722418714,2020-03-26,total,49928490951
2233938934,2020-03-27,Investment_Trust,1333809520
753836710,2020-03-27,Dealer_self,2284308830
49040991701,2020-03-27,total,61906764345
511490,2020-03-27,Foreign_Dealer_Self,406620
4698146527,2020-03-27,Dealer_Hedging,7216296755
41355069530,2020-03-27,Foreign_Investor,51072349240
4904682440,2020-03-30,Dealer_Hedging,7407441533
717714030,2020-03-30,Dealer_self,849368391
1360419120,2020-03-30,Investment_Trust,1587541125
681850,2020-03-30,Foreign_Dealer_Self,186360
44337114862,2020-03-30,total,52049487763
37354299272,2020-03-30,Foreign_Investor,42205136714
660910326,2020-03-31,Dealer_self,1554474491
112360,2020-03-31,Foreign_Dealer_Self,82150
3579343442,2020-03-31,Dealer_Hedging,5166361622
3077127012,2020-03-31,Investment_Trust,1415570730
55803604040,2020-03-31,total,62434731494
48486223260,2020-03-31,Foreign_Investor,54298324651
3681729831,2020-04-01,Dealer_Hedging,5539788946
789316840,2020-04-01,Dealer_self,912143500
33759089839,2020-04-01,Foreign_Investor,38466572585
3039112340,2020-04-01,Investment_Trust,853138940
123150,2020-04-01,Foreign_Dealer_Self,266220
41269248850,2020-04-01,total,45771643971
64348929380,2020-04-06,total,60616673273
56208766501,2020-04-06,Foreign_Investor,54066458182
1718925610,2020-04-06,Investment_Trust,1123530150
188700,2020-04-06,Foreign_Dealer_Self,954220
1462720970,2020-04-06,Dealer_self,866463950
4958516299,2020-04-06,Dealer_Hedging,4560220991
3581484790,2020-04-07,Investment_Trust,1598369890
48174203029,2020-04-07,Foreign_Investor,44787215977
1549560420,2020-04-07,Dealer_self,1390014680
810310,2020-04-07,Foreign_Dealer_Self,1394680
58351466239,2020-04-07,total,51999518723
5046218000,2020-04-07,Dealer_Hedging,4223918176
5558100346,2020-04-08,Dealer_Hedging,5759234174
3750698710,2020-04-08,Investment_Trust,1958602400
50242440208,2020-04-08,total,48913356879
1454900,2020-04-08,Foreign_Dealer_Self,1204670
39417652326,2020-04-08,Foreign_Investor,39187939928
1515988826,2020-04-08,Dealer_self,2007580377
1137590,2020-04-09,Foreign_Dealer_Self,3128440
31324893350,2020-04-09,Foreign_Investor,38514279984
1089302260,2020-04-09,Dealer_self,1715250921
2092363160,2020-04-09,Investment_Trust,1716289818
38434980073,2020-04-09,total,47718371608
3928421303,2020-04-09,Dealer_Hedging,5772550885
24010482300,2020-04-10,Foreign_Investor,24044728447
3411663607,2020-04-10,Dealer_Hedging,3842610634
857762800,2020-04-10,Dealer_self,1392055023
2200178800,2020-04-10,Investment_Trust,1888984304
1674030,2020-04-10,Foreign_Dealer_Self,1390440
30480087507,2020-04-10,total,31168378408
1768410,2020-04-13,Foreign_Dealer_Self,1246160
976194050,2020-04-13,Dealer_self,2101972330
24909472048,2020-04-13,total,34470690045
